State,County,City,Name,RegionID,lon,lat
CA,Los Angeles,Santa Clarita,Newhall,26134,-118.50679097122246,34.382579597714226
CA,Los Angeles,Los Angeles,Tujunga,27484,-118.28205523090752,34.2576003167362
CA,Los Angeles,Los Angeles,Shadow Hills,33952,-118.35188239454644,34.25719711339968
CA,Los Angeles,Los Angeles,Sylmar,34213,-118.448365336129,34.31273270805462
CA,Los Angeles,Santa Clarita,Canyon Country,37739,-118.39350583617932,34.403664765680254
CA,Los Angeles,Los Angeles,Sun Valley,41131,-118.38491726993595,34.22517048951758
CA,Los Angeles,Los Angeles,North Hollywood,46795,-118.37805956399532,34.18024715509781
CA,Los Angeles,Los Angeles,Bel Air,113688,-118.4612465105123,34.09936916544966
CA,Los Angeles,Long Beach,Belmont Shore,113713,-118.13751986018528,33.75818389790403
CA,Los Angeles,Los Angeles,Beverly Glen,113749,-118.42196961094353,34.11224350640812
CA,Los Angeles,Los Angeles,Eagle Rock,114808,-118.20771457885321,34.136887531804426
CA,Los Angeles,Los Angeles,Mission Hills,116646,-118.45875533774678,34.26612306075952
CA,Los Angeles,Santa Monica,Ocean Park,117023,-118.48069157616514,34.00481225802319
CA,Los Angeles,Los Angeles,Westwood,118920,-118.43864486268282,34.06545001324618
CA,Los Angeles,Los Angeles,Westchester,7877,-118.4029844053044,33.95170434950209
CA,Los Angeles,Los Angeles,Panorama City,13176,-118.44755968213957,34.225313964215125
CA,Los Angeles,Los Angeles,Playa Vista,13327,-118.41957142512155,33.97530541020621
CA,Los Angeles,Los Angeles,Pacific Palisades,19810,-118.5457136413169,34.077838424505764
CA,Los Angeles,Los Angeles,Sherman Oaks,27080,-118.44327517064431,34.15279969841181
CA,Los Angeles,Los Angeles,Toluca Lake,27431,-118.35736756951955,34.15229265539561
CA,Los Angeles,Los Angeles,Hollywood,32059,-118.31732579045122,34.09274031665069
CA,Los Angeles,Los Angeles,Pacoima,40215,-118.4126719506883,34.26686839699323
CA,Los Angeles,Los Angeles,Boyle Heights,113886,-118.20623273681706,34.03497766601199
CA,Los Angeles,Redondo Beach,Riviera,115657,-118.38313500177935,33.810194578452126
CA,Los Angeles,Los Angeles,Lincoln Heights,116206,-118.21171031875426,34.07015138560209
CA,Los Angeles,Burbank,Magnolia Park,116375,-118.34557665323639,34.168065255469216
CA,Los Angeles,Long Beach,Naples,116828,-118.12206499034137,33.75512162726407
CA,Los Angeles,Santa Clarita,Saugus,6952,-118.51940584824075,34.44375585546163
CA,Los Angeles,Los Angeles,North Hills,13017,-118.47780525959337,34.23829747887218
CA,Los Angeles,Los Angeles,Venice,21056,-118.46295115968695,33.99016339334432
CA,Los Angeles,Los Angeles,La Tuna Canyon,25449,-118.3225551387065,34.23080377822392
CA,Los Angeles,Los Angeles,Canoga Park,30731,-118.60015240678558,34.21233271822449
CA,Los Angeles,Los Angeles,Granada Hills,31817,-118.50491606667886,34.29100931196632
CA,Los Angeles,Los Angeles,Lake Balboa,32368,-118.5066437975841,34.20187594794704
CA,Los Angeles,Hawthorne,Holly Park,36630,-118.3194683986861,33.927112253695846
