x,y,z
-117.865,34.14506,0.0
-118.2901,33.95287,0.0
-118.333241,33.990508,1.0
-118.2158,34.05309,0.0
-118.3761,34.1094,1.0
-118.1596,33.83785,1.0
-118.1448,34.69937,1.0
-118.437684,33.955246,0.0
-118.431327,34.192339,0.0
-118.312,33.82122,1.0
-117.966,34.08074,1.0
-118.1358,33.93162,1.0
-118.467935,34.427741,0.0
-118.1577,34.07462,1.0
-118.26220000000001,34.01258,1.0
-118.1227,34.02095,1.0
-118.250733,34.057183,1.0
-118.0763,33.93347,1.0
-118.181,33.88811,1.0
-118.0089,33.93949,1.0
-118.1919,33.84802,0.0
-118.1419,34.07682,1.0
-117.896,34.01685,1.0
-118.5554,34.40948,1.0
-118.1944,33.77413,0.0
-118.2397,33.88143,1.0
-118.4052,34.15238,1.0
-118.1512,33.8711,1.0
-118.552593,34.265128,1.0
-118.1428,34.0109,1.0
-118.0764,34.14568,0.0
-118.0075,34.07847,1.0
-118.530347,34.432426,1.0
-118.2139,34.13245,0.0
-118.399324,33.921095,0.0
-118.333468,34.186771,0.0
-118.3053,33.83769,0.0
-118.1911,34.1203,1.0
-118.2874,33.9165,1.0
-118.40258,34.035736,0.0
-118.516,34.17391,1.0
-118.3361,34.10415,0.0
-118.0948,33.95319,1.0
-117.9638,34.10486,0.0
-118.2592,33.88457,0.0
-118.6254,34.14389,1.0
-118.394,34.04773,1.0
-118.3527,33.8827,0.0
-118.1816,34.03,1.0
-118.1316,34.02494,1.0
-118.1978,33.87265,0.0
-118.145454,33.935704,1.0
-118.053073,34.124113,1.0
-118.1254,34.05867,0.0
-118.5377,34.0431,1.0
-118.1695,34.02471,1.0
-118.4697,34.05462,1.0
-118.58147,34.389476,1.0
-118.572,34.17954,1.0
-118.3219,33.81702,0.0
-118.2116,34.03845,1.0
-118.3552,34.21327,0.0
-118.6034,34.39065,0.0
-118.266485,34.035606,0.0
-118.7722,34.16486,0.0
-118.1241,33.84146,1.0
-118.1843,33.98888,0.0
-118.339583,34.082201,1.0
-118.316599,33.986457,1.0
-118.407964,34.172057,0.0
-118.4253,34.24244,1.0
-118.1453,33.79882,0.0
-118.4137,34.15423,1.0
-118.054,34.54881,0.0
-118.0859,34.06601,1.0
-118.147997,34.184754,1.0
-117.915,34.14518,1.0
-118.249514,34.09107,0.0
-118.0413,34.55854,1.0
-117.9194,34.10926,0.0
-118.136,33.9357,0.0
-118.295016,33.891226,0.0
-118.354703,33.997543,1.0
-118.1953,33.89238,1.0
-118.283583,33.72721,1.0
-118.3283,33.95313,1.0
-117.7377,34.03731,1.0
-118.6103,34.13712,1.0
-118.3706,34.1649,0.0
-118.273172,34.066733,1.0
-118.2063,34.06786,0.0
-118.2296,33.96554,1.0
-118.4641,34.43339,0.0
-118.3092,33.84366,0.0
-118.2832,33.91769,0.0
-118.277003,33.969765,0.0
-118.2574,34.02763,1.0
-118.018,34.05112,1.0
-118.246636,33.931206,1.0
-118.392,33.9723,1.0
-117.67,34.1561,1.0
-117.902989,34.084938,1.0
-118.3222,33.91517,0.0
-118.4893,34.25201,1.0
-118.327896,34.019884,0.0
-118.1232,33.77948,0.0
-118.3982,34.01695,1.0
-118.348,33.82042,1.0
-118.4507,34.42001,0.0
-118.3466,33.84221,0.0
-118.5243,34.20109,0.0
-118.2013,34.18218,1.0
-117.9765,34.04552,1.0
-118.4606,34.16513,1.0
-118.2765,33.95183,1.0
-118.3405,33.7876,1.0
-118.3108,33.76598,1.0
-118.2647,33.92459,1.0
-117.8467,33.97352,1.0
-118.6212,34.1968,1.0
-118.0957,34.05526,0.0
-118.4727,34.15607,1.0
-118.1476,33.84006,0.0
-118.300534,33.956736,1.0
-118.4019,33.77317,1.0
-118.464778,33.991429,1.0
-118.3046,33.99777,1.0
-118.5845,34.28143,0.0
-117.7497,34.11194,0.0
-118.1174,33.89533,1.0
-118.364,33.92738,1.0
-118.5194,34.05562,1.0
-118.4661,34.00049,1.0
-118.611078,34.186383,1.0
-118.2828,33.72869,1.0
-118.048777,33.963219,1.0
-118.3703,33.86437,0.0
-118.3811,34.17293,0.0
-118.4691,34.2509,1.0
-118.0766,33.88409,1.0
-117.893,34.01491,1.0
-118.4748,34.03237,1.0
-117.7876,34.03095,0.0
-117.863866,34.016925,1.0
-118.4811,34.03564,1.0
-118.192309,34.025538,1.0
-118.41681,33.968212,0.0
-118.3232,33.95042,0.0
-117.82419,34.137929,1.0
-118.3179,34.0617,1.0
-117.7734,34.11172,1.0
-118.3438,33.86806,1.0
-118.3034,34.0817,1.0
-118.4565,34.02479,1.0
-117.937,34.01448,0.0
-118.3027,33.96466,1.0
-118.3237,33.97564,0.0
-118.3693,34.15893,1.0
-118.6184,34.45776,0.0
-118.5591,34.2825,1.0
-118.2891,34.05871,0.0
-118.353326,34.103704,1.0
-118.1057,33.89614,0.0
-118.263154,33.810331,1.0
-118.3592,34.02424,1.0
-118.4711,34.02112,0.0
-118.5455,34.14862,0.0
-118.312458,34.083092,1.0
-118.4177,34.1057,0.0
-118.603,34.20841,1.0
-118.318,34.09895,0.0
-117.8376,34.10841,1.0
-118.5475,34.37183,1.0
-118.548073,34.253935,1.0
-118.382187,34.0272,1.0
-118.1289,33.8244,1.0
-118.284566,34.066758,1.0
-118.2619,34.01609,0.0
-117.7679,34.02664,0.0
-118.6655,34.18025,1.0
-117.9398,34.04305,1.0
-118.5997,34.18292,1.0
-117.8784,34.02277,1.0
-118.5119,34.26476,0.0
-118.376983,34.296268,0.0
-118.3054,34.06681,1.0
-118.049,34.07446,1.0
-118.1512,34.04043,1.0
-118.566843,34.193884,1.0
-118.35,34.098,0.0
-118.1023,34.01125,1.0
-118.3639,33.9636,0.0
-118.446243,34.143919,1.0
-118.2901,33.81612,0.0
-118.263556,33.995681,0.0
-118.135751,34.0884,1.0
-118.3253,34.10562,0.0
-118.102,33.96604,1.0
-118.3057,34.17869,1.0
-117.844,34.03638,1.0
-118.2963,33.76429,1.0
-118.397475,34.049226,1.0
-118.612,34.20935,0.0
-118.3552,34.05256,1.0
-118.0945,33.92154,1.0
-118.375277,34.173147,0.0
-118.3402,33.99698,1.0
-118.279831,33.742357,0.0
-118.1206,34.68938,0.0
-118.2826,33.98578,1.0
-118.3717,34.08545,1.0
-118.1384,34.09309,1.0
-118.225,34.12819,1.0
-118.304273,33.726189,0.0
-117.970336,34.072966,1.0
-118.1009,34.6969,0.0
-118.029254,34.065574,1.0
-118.249238,34.071457,1.0
-117.7097,34.120954,1.0
-118.097097,34.074009,1.0
-118.138122,34.080215,0.0
-118.4154,33.95571,0.0
-118.208273,33.960321,0.0
-117.8909,34.01015,1.0
-118.4755,34.01565,0.0
-118.2781,33.8417,1.0
-118.449291,34.069484,0.0
-118.0929,34.06271,1.0
-118.5862,34.20283,0.0
-118.3296,34.18205,1.0
-118.393558,34.018326,1.0
-117.866136,34.671682,1.0
-118.4579,34.15116,1.0
-118.507746,34.305111,0.0
-118.356989,33.932597,1.0
-118.0444,34.16677,1.0
-118.534,34.48003,1.0
-118.4052,34.1594,1.0
-118.6587,34.18681,1.0
-118.5203,34.16427,0.0
-118.318731,33.98501,0.0
-117.7181,34.04817,0.0
-118.0499,34.0779,0.0
-118.192216,34.176713,1.0
-118.443936,34.130276,1.0
-118.2649,33.92564,0.0
-118.2874,33.9165,0.0
-118.3107,34.10172,1.0
-118.02289,34.157779,1.0
-117.9635,34.08293,0.0
-118.2827,33.96675,0.0
-118.109376,34.14031,1.0
-118.2552,34.06384,0.0
-118.2091,33.94945,1.0
-117.851449,34.084782,0.0
-118.2454,34.14091,1.0
-118.3037,34.27166,0.0
-118.441423,34.14845,1.0
-118.5079,34.03205,0.0
-118.1431,34.18042,1.0
-118.2899,33.93914,1.0
-118.1491,33.76371,1.0
-118.3031,34.15963,1.0
-118.3582,34.02256,1.0
-118.1692,34.47751,0.0
-118.1446,33.91064,0.0
-118.2243,33.95392,0.0
-118.5009,34.45361,1.0
-118.2861,33.82655,1.0
-117.966591,34.094559,0.0
-118.4697,34.13683,0.0
-118.0805,33.9665,1.0
-118.424104,34.296487,1.0
-118.387,33.85548,1.0
-118.4328,33.98724,1.0
-118.144875,33.933337,1.0
-117.9732,34.07049,0.0
-117.922,34.06289,1.0
-118.249989,34.074626,1.0
-118.3323,33.97915,1.0
-118.3896,33.83324,0.0
-118.1948,33.92234,0.0
-118.3756,34.19135,0.0
-118.397883,34.00416,1.0
-118.192541,33.961597,0.0
-118.141366,33.902609,1.0
-118.468681,34.064221,1.0
-118.6017,34.2198,0.0
-117.9888,34.06844,1.0
-118.3423,34.01331,0.0
-118.2475,34.15052,0.0
-118.1046,34.18163,1.0
-118.1637,34.03713,0.0
-118.521331,34.048041,1.0
-117.982,34.05892,0.0
-117.9426,34.07896,1.0
-118.1635,34.09335,0.0
-118.147054,33.920877,0.0
-118.2619,34.03069,0.0
-118.2284,34.09311,0.0
-118.1383,34.13935,1.0
-118.2973,34.27603,0.0
-118.0746,34.54573,1.0
-118.240848,33.948133,0.0
-118.45291,34.260899,0.0
-118.402,33.95923,0.0
-118.0552,33.84924,1.0
-118.6177,34.19044,1.0
-118.1468,34.7109,0.0
-118.0079,34.13682,0.0
-118.2148,33.98525,1.0
-118.2453,33.85266,1.0
-118.079,34.67834,1.0
-118.2206,33.96033,1.0
